calDate,swappedOuFRAX,swappedOutUSD
2023-02-22,6403.006591796875,6403.006591796875
2023-02-21,4963.3372802734375,4963.3372802734375
2023-02-19,10240.977249145508,10240.977249145508
2023-02-18,3467.2989501953125,3467.2989501953125
2023-02-17,9000.945068359375,9000.945068359375
2023-02-16,1272.6298828125,1272.6298828125
2023-02-15,12421.311767578125,12421.311767578125
2023-02-14,21193.98583984375,21193.98583984375
2023-02-13,5762.4127197265625,5762.4127197265625
2023-02-12,7388.0198974609375,7388.0198974609375
2023-02-11,492.60321044921875,492.60321044921875
2023-02-10,6052.450878143311,6052.450878143311
2023-02-09,6523.323257446289,6523.323257446289
2023-02-07,4387.44775390625,4387.44775390625
2023-02-06,2338.636474609375,2338.636474609375
2023-02-04,8446.475219726562,8446.475219726562
2023-02-03,5798.662353515625,5798.662353515625
2023-02-02,5740.0985107421875,5740.0985107421875
2023-01-31,2735.9970703125,2735.9970703125
2023-01-30,23516.671936035156,23516.671936035156
2023-01-28,2796.2373046875,2796.2373046875
2023-01-27,1844.8507080078125,1844.8507080078125
2023-01-25,1683.177001953125,1683.177001953125
2023-01-24,6345.2796630859375,6345.2796630859375
2023-01-23,9341.752197265625,9341.752197265625
2023-01-22,5919.8514404296875,5919.8514404296875
2023-01-21,34222.31494140625,34222.31494140625
2023-01-20,3942.1611328125,3942.1611328125
2023-01-17,4664.55224609375,4664.55224609375
2023-01-16,3981.101806640625,3981.101806640625
2023-01-14,4709.691650390625,4709.691650390625
2023-01-13,7688.40234375,7688.40234375
2023-01-12,8278.0166015625,8278.0166015625
2023-01-11,41310.78338623047,41310.78338623047
2023-01-10,2170.800537109375,2170.800537109375
2023-01-09,6703.63330078125,6703.63330078125
2023-01-07,3044.397216796875,3044.397216796875
2023-01-06,2969.82958984375,2969.82958984375
2023-01-05,12321.33056640625,12321.33056640625
2023-01-04,15357.470336914062,15357.470336914062
2023-01-03,8936.201416015625,8936.201416015625
2023-01-02,5270.611999511719,5270.611999511719
2023-01-01,14022.60513305664,14022.60513305664
2022-12-31,12002.325073242188,12002.325073242188
2022-12-30,1544.516845703125,1544.516845703125
2022-12-29,3265.156494140625,3265.156494140625
2022-12-28,10838.311645507812,10838.311645507812
2022-12-27,5192.9794921875,5192.9794921875
2022-12-26,8272.703125,8272.703125
2022-12-25,8561.911376953125,8561.911376953125
2022-12-24,4626.1376953125,4626.1376953125
2022-12-23,29344.749755859375,29344.749755859375
2022-12-22,42777.60565185547,42777.60565185547
2022-12-21,34778.512451171875,34778.512451171875
2022-12-20,38823.35852050781,38823.35852050781
2022-12-19,46052.66943359375,46052.66943359375
2022-12-18,15860.582763671875,15860.582763671875
2022-12-17,4515.236083984375,4515.236083984375
2022-12-16,76033.44167327881,76033.44167327881
2022-12-15,34731.928955078125,34731.928955078125
2022-12-14,20345.779296875,20345.779296875
2022-12-13,9063.449584960938,9063.449584960938
2022-12-12,17997.182250976562,17997.182250976562
2022-12-11,14766.435302734375,14766.435302734375
2022-12-10,24960.760955810547,24960.760955810547
2022-12-09,6737.537841796875,6737.537841796875
2022-12-08,9262.625549316406,9262.625549316406
2022-12-07,6814.27490234375,6814.27490234375
2022-12-06,6245.22802734375,6245.22802734375
2022-12-05,14195.70263671875,14195.70263671875
2022-12-04,10781.661865234375,10781.661865234375
2022-12-03,6363.371856689453,6363.371856689453
2022-12-02,24326.577758789062,24326.577758789062
2022-12-01,41445.084716796875,41445.084716796875
2022-11-30,20248.87914276123,20248.87914276123
2022-11-29,22918.871826171875,22918.871826171875
2022-11-28,31542.491455078125,31525.858276367188
